CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-01792552","Zhou, ZH; Chen, Y; Zhao, BH; Jiang, Y; Luo, Q","Early Postpartum Venous Thromboembolism: risk Factors and Predictive Index","Clinical and applied thrombosis/hemostasis","2019","The aim of our study was to quantify risk factors for venous thromboembolism (VTE) during the puerperal period. The case–control study was conducted in Women’s Hospital, Zhejiang University, China, from January 2006 to December 2016; cases of hospitalized VTE within 1 week after delivery were identified according to International Classification of Diseases, Ninth Revision, Clinical Modification codes. Control postpartum women without VTE were randomly selected, matched on birth day, age, delivery mode, and number of fetus with 4:1 ratio. Clinical risk factors for postpartum VTE and coagulation parameters were analyzed. We found independent variables that were significantly related to postpartum VTE (all P <.05) in a binary logistic regression analysis included preeclampsia/eclampsia (odds ratio [OR], 2.89; 95% confidence interval [CI], 1.56‐5.37) and postpartum hemorrhage (OR, 4.6; 95% CI, 1.71‐12.40). D‐dimer was the only biomarker that statistically significant associated with postpartum VTE in 3 days after delivery (all P <.05). These findings showed preeclampsia/eclampsia and postpartum hemorrhage were important risk factors for early VTE during puerperal period. A higher level of D‐dimer was more meaningful than other coagulation parameters to suspect early thrombotic disease after delivery.","25",,"1076029618818777","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 30580550","EMBASE 625820633",,,,"Journal article","*postpartum hemorrhage; *preeclampsia; *risk factor; *venous thromboembolism; Adult; Article; Case control study; Case‐Control Studies; China; Controlled study; Female; Fetus; Human; Humans; Independent variable; International Classification of Diseases; Postpartum Hemorrhage [*diagnosis, pathology]; Predictive Value of Tests; Pregnancy; Pregnancy Complications, Cardiovascular [*diagnosis, pathology]; Randomized controlled trial; Retrospective Studies; Risk Factors; Thrombosis; Venous Thromboembolism [*etiology, pathology]","10.1177/1076029618818777","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01792552/full",
"CN-01068882","Meiri, H; Sammar, M; Herzog, A; Grimpel, YI; Fihaman, G; Cohen, A; Kivity, V; Sharabi-Nov, A; Gonen, R","Prediction of preeclampsia by placental protein 13 and background risk factors and its prevention by aspirin","Journal of perinatal medicine","2014","Aim: Evaluation of placental protein 13 (PP13) and risk factors (RFs) as markers for predicting preeclampsia (PE) and use of aspirin for PE prevention. Materials and methods: First‐trimester pregnancy screening was based on having PP13 level ≤ 0.4 multiple of the median (MoM) and/or at least one major risk factor (RF) for PE. Management was by routine care or combined with daily treatment with 75 mg aspirin between 14 and 35 weeks of gestation. Results: Of 820 deliveries, 63 women developed PE (7.7%). Median PP13 levels was 0.2MoM in the PE group compared with 0.83MoM among unaffected and 1.0MoM in unaffected not treated with aspirin (P<0.0001). Low PP13 was a better predictor for PE versus major RFs, particularly for young nuliparous. Combining low PP13 with RFs increased prediction accuracy. Mean arterial pressure (not included in the initial prediction), could add to prediction accuracy when combined with low PP13 and RFs. PE prevention by aspirin was most effective when the risk was determined by low PP13 alone, less effective for combining low PP13 with RFs, and ineffective when determined by RFs alone. Conclusion: When PE risk is determined by low first trimester PP13 or by combined low PP13 and RFs, prevention with aspirin is warranted.","42","5","591‐601","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24607918","EMBASE 603287047",,,,"Journal article","*acetylsalicylic acid/ct [Clinical Trial]; *acetylsalicylic acid/dt [Drug Therapy]; *biological marker/ec [Endogenous Compound]; *placenta protein/ec [Endogenous Compound]; *placental protein 13/ec [Endogenous Compound]; *preeclampsia/di [Diagnosis]; *preeclampsia/dt [Drug Therapy]; *preeclampsia/pc [Prevention]; *prenatal diagnosis; Adolescent; Adult; Article; Aspirin [pharmacology]; Biomarkers [blood]; Blood Pressure; Clinical evaluation; Controlled clinical trial; Controlled study; Delivery; Diagnostic accuracy; Diagnostic test accuracy study; Drug efficacy; Female; First trimester pregnancy; Galectins [*blood]; Gestational age; High risk patient; High risk pregnancy; Human; Humans; Major clinical study; Mean arterial pressure; Medication compliance; Middle Aged; Nullipara; Patient compliance; Predictive value; Pregnancy; Pregnancy Proteins [*blood]; Pregnancy Trimester, First; Pregnant woman; Prenatal Diagnosis; Prenatal screening; Prescription; Prescription drug/dt [Drug Therapy]; Pre‐Eclampsia [*blood, *etiology, prevention &amp; control]; Priority journal; Risk Factors; Risk assessment; Risk benefit analysis; Risk factor; Sensitivity and specificity; Unclassified drug; Young Adult","10.1515/jpm-2013-0298","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01068882/full",
"CN-00770237","Gammill, HS; Powers, RW; Clifton, RG; Van Dorsten, JP; Klebanoff, MA; Lindheimer, MD; Sibai, B; Landon, MB; Miodovnik, M; Dombrowski, M; Bethesda, ; MD,","Does C-reactive protein predict recurrent preeclampsia?","Hypertension in pregnancy","2010","OBJECTIVE: Evaluate association of the inflammatory marker C‐reactive protein with recurrent preeclampsia. METHODS: Serum samples collected longitudinally in women with previous preeclampsia from the Maternal‐Fetal Medicine Units Network trial of aspirin to prevent preeclampsia were assayed for CRP. RESULTS: Of 255 women studied, 50 developed recurrence. Baseline C‐reactive protein concentration was similar between women who did and did not recur. After adjusting for confounders, neither elevated baseline C‐reactive protein nor its change over gestation was associated with recurrence. CONCLUSION: In this group of women with previous preeclampsia, neither baseline C‐reactive protein concentration nor change in concentration over gestation was associated with recurrent preeclampsia.","29","4","399‐409","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 20701468",,,,,"Journal article","Adult; Biomarkers [blood]; Chi‐Square Distribution; C‐Reactive Protein [*metabolism]; Enzyme‐Linked Immunosorbent Assay; Female; Humans; Inflammation [blood]; Predictive Value of Tests; Pregnancy; Pre‐Eclampsia [*blood]; Recurrence; Risk Factors","10.3109/10641950903214633","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00770237/full",
"CN-02285635","Shen, L; Martinez-Portilla, RJ; Rolnik, DL; Poon, LC","ASPRE trial: risk factors for development of preterm pre-eclampsia despite aspirin prophylaxis","Ultrasound in obstetrics &amp; gynecology","2021","OBJECTIVE: To examine the possible risk factors amongst maternal characteristics, medical and obstetric history, pre‐eclampsia (PE)‐specific biomarkers and estimated‐risk group, according to The Fetal Medicine Foundation (FMF) algorithm, that are associated with the development of preterm PE with delivery at < 37 weeks' gestation despite aspirin prophylaxis. METHODS: This was a secondary analysis of data from the ASPRE trial. The study population consisted of women with singleton pregnancy who were deemed to be at high risk for preterm PE, based on the FMF algorithm that combines maternal factors, mean arterial pressure, uterine artery pulsatility index, serum pregnancy‐associated plasma protein‐A and placental growth factor (PlGF) at 11‐13 weeks' gestation. High‐risk women were randomized to receive aspirin (150 mg/day) vs placebo from 11‐14 until 36 weeks' gestation. The primary outcome was PE with delivery at < 37 weeks' gestation (preterm PE). Multivariate logistic regression analysis was performed to identify independent predictors of preterm PE after adjusting for the use of aspirin and other covariates. RESULTS: Among 1592 high‐risk women, the incidence of preterm PE was 3.0% (n = 48). The interaction between aspirin usage and history of chronic hypertension was significant in the prediction of preterm PE (P = 0.042), which indicated that there was no treatment effect in high‐risk women who had chronic hypertension compared with those who did not. Adjusting for aspirin use, the interaction between aspirin and chronic hypertension and other covariates, independent predictors for the development of preterm PE were PlGF multiples of the median (MoM) (adjusted odds ratio (aOR), 0.226 (95% CI, 0.070‐0.723)) and estimated‐risk group based on the FMF algorithm. Compared to women with an estimated risk of 1 in 51 to 1 in 100, those with an estimated risk of 1 in 2 to 1 in 10 had a 7‐fold higher risk of developing preterm PE (aOR, 6.706 (95% CI, 2.381‐18.883)), and those with an estimated risk of 1 in 11 to 1 in 50 had a 3‐fold higher risk of preterm PE (aOR, 2.769 (95% CI, 1.105‐6.939)). PlGF MoM was an independent predictor for preterm PE among women with an estimated risk of 1 in 2 to 1 in 10 (aOR, 0.055 (95% CI, 0.005‐0.668)). Among women with an estimated risk of 1 in 11 to 1 in 100, the use of aspirin was an independent predictor of preterm PE (aOR, 0.276 (95% CI, 0.111‐0.689)). The cut‐off for PlGF with the best performance for the prediction of preterm PE was 0.712 MoM, with an aOR of 3.677 (95% CI, 1.526‐8.862). CONCLUSION: In pregnancies at high risk of preterm PE identified by screening at 11‐13 weeks' gestation using the FMF algorithm, a very high‐risk result (estimated risk ≥ 1 in 50), compared to an estimated risk of 1 in 51 to 1 in 100, chronic hypertension, compared to no chronic hypertension, and low PlGF concentration (< 0.712 MoM), compared to PlGF ≥ 0.712 MoM, were associated with the development of preterm PE despite aspirin prophylaxis. © 2021 International Society of Ultrasound in Obstetrics and Gynecology.","58","4","546‐552","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 33998099","EMBASE 635105671",,,,"Journal article","*algorithm; *first trimester pregnancy; *preeclampsia; *prophylaxis; *pulsatility index; *risk factor; *uterine artery; Adult; Algorithms; Arterial Pressure; Article; Aspirin [*therapeutic use]; Biomarkers [blood]; Blood Pressure; Clinical trial; Controlled study; Drug therapy; Female; Gestational Age; Human; Human tissue; Humans; Hypertension; Incidence; Infant, Newborn; Major clinical study; Outcome assessment; Placenta Growth Factor; Prediction; Pregnancy; Pregnancy Outcome; Pregnancy Trimester, First; Pregnancy‐Associated Plasma Protein‐A; Premature Birth [epidemiology, *etiology, prevention &amp; control]; Prenatal Care [*methods]; Prenatal Diagnosis [*methods]; Pre‐Eclampsia [epidemiology, *etiology, prevention &amp; control]; Prospective Studies; Pulsatile Flow; Randomized controlled trial; Risk Assessment; Risk Factors; Risk assessment; Treatment Outcome; Uterine Artery","10.1002/uog.23668","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02285635/full","Pregnancy and Childbirth"
"CN-00145900","Sibai, BM; Ewell, M; Levine, RJ; Klebanoff, MA; Esterlitz, J; Catalano, PM; Goldenberg, RL; Joffe, G","Risk factors associated with preeclampsia in healthy nulliparous women. The Calcium for Preeclampsia Prevention (CPEP) Study Group","American journal of obstetrics and gynecology","1997","OBJECTIVE: Our goal was to identify risk factors for the development of preeclampsia in nulliparous women enrolled in a multicenter trial comparing calcium supplementation to a placebo. STUDY DESIGN: A total of 4589 women from five centers was studied. Analysis of risk factors for preeclampsia was performed in 4314 who carried the pregnancy to > 20 weeks. Baseline systolic and diastolic blood pressure, demographic characteristics, and findings after randomization were examined for the prediction of preeclampsia. Preeclampsia was defined as hypertension (diastolic blood pressure > or = 90 mm Hg on two occasions 4 hours to 1 week apart) and proteinuria (> or = 300 mg/24 hours, a protein/creatinine ratio > or = 0.35, one dipstick measurement > or = 2+ or two dipstick measurements > or = 1+ at an interval as specified for diastolic blood pressure). RESULTS: Preeclampsia developed in 326 women (7.6%). The first analysis treated each risk factor as a categoric variable in a univariate regression. Maternal age, blood group and Rh factor, alcohol use, previous abortion or miscarriage, private insurance, and calcium supplementation were not statistically significant. Risk factors initially found to be significant were body mass index, systolic blood pressure, diastolic blood pressure, non‐white race (African‐American and other), clinical center, and smoking. Adjusted odds ratios computed with a logistic regression model revealed that body mass index (odds ratio 3.22 for > or = 35 kg/m2 vs < 19.8 kg/m2), systolic blood pressure (odds ratio 2.66 for > or = 120 vs < 101 mm Hg), diastolic blood pressure (odds ratio 1.72 for > or = 61 mm Hg vs < 60 mm Hg), and clinical center (odds ratio 1.85 for Memphis vs the other clinical centers) were statistically significant predictors of preeclampsia. Results of the final model fit revealed that preeclampsia risk increases significantly (p < 0.0001) with increased body mass index at randomization, as well as with increased systolic and diastolic blood pressure at randomization. Calcium supplementation had no effect on the risks posed by body mass index and blood pressure. Among risk factors developing after randomization, an abnormal results of a glucose screen (plasma glucose > or = 140 mg/dl 1 hour after a 50 gm glucose challenge) was not found to be associated with a significant risk of preeclampsia. CONCLUSION: These risk factors should be of value in counseling women regarding preeclampsia and should aid in understanding the pathophysiologic characteristics of this syndrome.","177","5","1003‐1010","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 9396883","EMBASE 27525346",,,,"Journal article","Adolescent; Adult; Blood Pressure; Body Mass Index; Calcium [*administration &amp; dosage]; Female; Humans; Maternal Age; Pregnancy; Pre‐Eclampsia [*etiology]; Risk Factors","10.1016/s0002-9378(97)70004-8","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00145900/full","Metabolic and Endocrine Disorders"
"CN-01014345","Zhang, YY; Wang, Q","Early prediction of preeclampsia and the preventive effect of qiju dihuang oral liquid on preeclampsia patients: a clinical study","Zhongguo zhong xi yi jie he za zhi zhongguo zhongxiyi jiehe zazhi = chinese journal of integrated traditional and western medicine","2013","OBJECTIVE: To study the clinical value of the preeclampsia risk assessment system, and to explore the preventive effect of Qiju Dihuang Oral Liquid (QDOL) on preeclampsia patients. METHODS: Totally 2 000 pregnant women in the gestational week 16 ‐20 were equally assigned to Group A and Group B by randomized sampling. Their preeclampsia incidence was respectively assessed by preeclampsia risk assessment system and mean arterial pressure method. Of them, 200 pregnant women at predicted high risk of preeclampsia were assigned to the control group and the treatment group, 100 in each group. All received routine treatment. Patients in the treatment group additionally took QDOL, 10 mL each time, twice daily; 2 consecutive weeks per month for totally 2 weeks; lasting for six consecutive courses or ending according to the therapeutic course. The incidence was observed and compared between the two groups. RESULTS: The predicted coincidence rate of the risk assessment system was 72.3%, higher than that of mean arterial pressure method (50.5%, P < 0.05). The incidence rate of the treatment group was 32.0%, lower than that of the control group (46.0%, P < 0.05). CONCLUSIONS: The preeclampsia risk assessment system was more accurate. QDOL could lower the incidence of preeclampsia as intervention.","33","12","1645‐1647","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24517062",,,,,"Journal article","*herbaceous agent/dt [Drug Therapy]; *phytotherapy; *preeclampsia/dt [Drug Therapy]; *preeclampsia/pc [Prevention]; Adult; Article; Controlled clinical trial; Controlled study; Drugs, Chinese Herbal [*therapeutic use]; Female; Human; Humans; Incidence; Phytotherapy; Pregnancy; Pregnancy Trimester, Second; Pre‐Eclampsia [*drug therapy, prevention &amp; control]; Randomized controlled trial; Risk Factors; Risk factor; Second trimester pregnancy; Young Adult; Young adult",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01014345/full","Pregnancy and Childbirth"
"CN-00777924","Seed, PT; Chappell, LC; Black, MA; Poppe, KK; Hwang, YC; Kasabov, N; McCowan, L; Shennan, AH; Wu, SH; Poston, L; North, RA","Prediction of preeclampsia and delivery of small for gestational age babies based on a combination of clinical risk factors in high-risk women","Hypertension in pregnancy","2011","OBJECTIVE: To develop clinical risk tools for preeclampsia and small for gestational age (SGA) in high‐risk women. METHODS: Individual risk scores based on clinical risk factors were calculated using logistic regression and validated in 1687 women with obesity in first pregnancy, chronic hypertension, or previous preeclampsia. RESULTS: The risk of preeclampsia varied from 7% in obese primiparae without hypertension to 30% when previous preeclampsia and chronic hypertension occurred together. A prediction model incorporating these risk factors had a sensitivity of 48 and 89% for preeclampsia delivered <34 weeks' gestation. CONCLUSION: Multiple clinical risk factors increase the risk of preeclampsia and SGA.","30","1","58‐73","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 20795821",,,,,"Journal article","Adult; Ascorbic Acid [therapeutic use]; Female; Forecasting; Gestational Age; Humans; Infant, Newborn; Infant, Small for Gestational Age; Pregnancy; Pregnancy Complications, Cardiovascular; Pre‐Eclampsia [*etiology, prevention &amp; control]; Risk Assessment; Risk Factors; Vitamin E [therapeutic use]; Vitamins [*therapeutic use]","10.3109/10641955.2010.486460","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00777924/full",
"CN-00788297","North, RA; McCowan, LM; Dekker, GA; Poston, L; Chan, EH; Stewart, AW; Black, MA; Taylor, RS; Walker, JJ; Baker, PN; Kenny, LC","Clinical risk prediction for pre-eclampsia in nulliparous women: development of model in international prospective cohort","BMJ","2011","OBJECTIVES: To develop a predictive model for pre‐eclampsia based on clinical risk factors for nulliparous women and to identify a subgroup at increased risk, in whom specialist referral might be indicated. DESIGN: Prospective multicentre cohort. SETTING: Five centres in Auckland, New Zealand; Adelaide, Australia; Manchester and London, United Kingdom; and Cork, Republic of Ireland. PARTICIPANTS: 3572 ""healthy"" nulliparous women with a singleton pregnancy from a large international study; data on pregnancy outcome were available for 3529 (99%). MAIN OUTCOME MEASURE: Pre‐eclampsia defined as ≥ 140 mm Hg or diastolic blood pressure ≥ 90 mm Hg, or both, on at least two occasions four hours apart after 20 weeks' gestation but before the onset of labour, or postpartum, with either proteinuria or any multisystem complication. Preterm pre‐eclampsia was defined as women with pre‐eclampsia delivered before 37(+0) weeks' gestation. In the stepwise logistic regression the comparison group was women without pre‐eclampsia. RESULTS: Of the 3529 women, 186 (5.3%) developed pre‐eclampsia, including 47 (1.3%) with preterm pre‐eclampsia. Clinical risk factors at 14‐16 weeks' gestation were age, mean arterial blood pressure, body mass index (BMI), family history of pre‐eclampsia, family history of coronary heart disease, maternal birth weight, and vaginal bleeding for at least five days. Factors associated with reduced risk were a previous single miscarriage with the same partner, taking at least 12 months to conceive, high intake of fruit, cigarette smoking, and alcohol use in the first trimester. The area under the receiver operating characteristics curve (AUC), under internal validation, was 0.71. Addition of uterine artery Doppler indices did not improve performance (internal validation AUC 0.71). A framework for specialist referral was developed based on a probability of pre‐eclampsia generated by the model of at least 15% or an abnormal uterine artery Doppler waveform in a subset of women with single risk factors. Nine per cent of nulliparous women would be referred for a specialist opinion, of whom 21% would develop pre‐eclampsia. The relative risk for developing pre‐eclampsia and preterm pre‐eclampsia in women referred to a specialist compared with standard care was 5.5 and 12.2, respectively. CONCLUSIONS: The ability to predict pre‐eclampsia in healthy nulliparous women using clinical phenotype is modest and requires external validation in other populations. If validated, it could provide a personalised clinical risk profile for nulliparous women to which biomarkers could be added. Trial registration ACTRN12607000551493.","342",,"d1875","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 21474517",,,,,"Journal article","Adult; Early Diagnosis; Female; Humans; Parity; Pregnancy; Pregnancy Outcome; Pre‐Eclampsia [*diagnosis]; Referral and Consultation; Risk Assessment; Risk Factors; Ultrasonography, Doppler","10.1136/bmj.d1875","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00788297/full",
"CN-00962982","Myers, JE; Kenny, LC; McCowan, LM; Chan, EH; Dekker, GA; Poston, L; Simpson, NA; North, RA","Angiogenic factors combined with clinical risk factors to predict preterm pre-eclampsia in nulliparous women: a predictive test accuracy study","BJOG","2013","OBJECTIVES: To assess the performance of clinical risk factors, uterine artery Doppler and angiogenic markers to predict preterm pre‐eclampsia in nulliparous women. DESIGN: Predictive test accuracy study. SETTING: Prospective multicentre cohort study Screening for Pregnancy Endpoints (SCOPE). METHODS: Low‐risk nulliparous women with a singleton pregnancy were recruited. Clinical risk factor data were obtained and plasma placental growth factor (PlGF), soluble endoglin and soluble fms‐like tyrosine kinase‐1 (sFlt‐1) were measured at 14‐16 weeks of gestation. Prediction models were developed using multivariable stepwise logistic regression. MAIN OUTCOME MEASURE: Preterm pre‐eclampsia (delivered before 37(+0)  weeks of gestation). RESULTS: Of the 3529 women recruited, 187 (5.3%) developed pre‐eclampsia of whom 47 (1.3%) delivered preterm. Controls (n = 188) were randomly selected from women without preterm pre‐eclampsia and included women who developed other pregnancy complications. An area under a receiver operating characteristic curve (AUC) of 0.76 (95% CI 0.67‐0.84) was observed using previously reported clinical risk variables. The AUC improved following the addition of PlGF measured at 14‐16 weeks (0.84; 95% CI 0.77‐0.91), but no further improvement was observed with the addition of uterine artery Doppler or the other angiogenic markers. A sensitivity of 45% (95% CI 0.31‐0.59) (5% false‐positive rate) and post‐test probability of 11% (95% CI 9‐13) were observed using clinical risk variables and PlGF measurement. CONCLUSIONS: Addition of plasma PlGF at 14‐16 weeks of gestation to clinical risk assessment improved the identification of nulliparous women at increased risk of developing preterm pre‐eclampsia, but the performance is not sufficient to warrant introduction as a clinical screening test. These findings are marker dependent, not assay dependent; additional markers are needed to achieve clinical utility.","120","10","1215‐1223","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 23906160",,,,,"Journal article","Adult; Antigens, CD [*blood]; Area Under Curve; Biomarkers [blood]; Endoglin; Female; Humans; Parity; Placenta Growth Factor; Predictive Value of Tests; Pregnancy; Pregnancy Proteins [*blood]; Pregnancy Trimester, First [blood]; Pregnancy Trimester, Second [blood]; Premature Birth [blood]; Pre‐Eclampsia [*blood, *diagnosis, diagnostic imaging]; ROC Curve; Receptors, Cell Surface [*blood]; Risk Factors; Ultrasonography, Doppler; Uterine Artery [diagnostic imaging]; Vascular Endothelial Growth Factor Receptor‐1 [*blood]; Young Adult","10.1111/1471-0528.12195","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00962982/full",
"CN-01154447","van der Tuuk, K; van Pampus, MG; Koopmans, CM; Aarnoudse, JG; van den Berg, PP; van Beek, JJ; Copraij, FJ; Kleiverda, G; Porath, M; Rijnders, RJ; van der Salm, PC; Morssink, LP; Stigter, RH; Mol, BW; Groen, H","Prediction of cesarean section risk in women with gestational hypertension or mild preeclampsia at term","European journal of obstetrics, gynecology, and reproductive biology","2015","OBJECTIVE: In a recent randomized controlled trial we found that induction of labor in women with gestational hypertension (GH) or mild (preeclampsia) PE at term prevented high risk situations without increasing the cesarean section (CS) rate. We aimed to assess the predictability of the risk of CS. STUDY DESIGN: We used multivariable logistic regression analysis to identify predictive factors. Two models were created, one including antepartum and one including antepartum and intrapartum variables. The predictive capacity was assessed with ROC analysis and calibration. RESULTS: 126 (17%) of the 756 women delivered by CS. In multivariable analysis parity (OR 5.4), ethnicity (OR 2.4), previous miscarriage (OR 1.7), creatinine (OR 1.02), proteinuria (OR 2.4), cervical length (OR 1.02), engagement (OR 0.5) and dilatation (OR 0.7) were independent antepartum predictors. Intrapartum variables were parity (OR 3.6), ethnicity (OR 1.9), previous miscarriage (OR 1.5), gestational age at delivery (OR 1.2), antibiotic use (OR 8.0), disease progression (OR 2.4), uric acid (OR 1.4), proteinuria (OR 3.50) and dilatation (OR 0.76). Both models showed good discrimination (AUC 0.74 and 0.80) but calibration was moderate (Hosmer‐Lemeshow P‐value 0.42 and 0.70). CONCLUSION: In women with GH or mild PE at term, the risk of CS can be predicted.","191",,"23‐27","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 26070123",,,,,"Journal article","*Cesarean Section; *Labor, Induced; *Models, Biological; *Watchful Waiting; *biological model; *cesarean section; *labor induction; *watchful waiting; Adult; Comparative study; Controlled study; Discriminant Analysis; Discriminant analysis; Disease Progression; Disease course; Epidemiology; Female; Human; Humans; Hypertension, Pregnancy‐Induced [*diagnosis, physiopathology, therapy]; Hypertension, Pregnancy‐Induced/di [Diagnosis]; Hypertension, Pregnancy‐Induced/th [Therapy]; Netherlands; Netherlands [epidemiology]; Parity; Pathophysiology; Pregnancy; Pregnancy Trimester, Third; Pre‐Eclampsia [*diagnosis, physiopathology, therapy]; Pre‐Eclampsia/di [Diagnosis]; Pre‐Eclampsia/th [Therapy]; Prognosis; ROC Curve; Randomized controlled trial; Receiver operating characteristic; Risk Factors; Risk factor; Sensitivity and Specificity; Sensitivity and specificity; Severity of Illness Index; Severity of illness index; Third trimester pregnancy","10.1016/j.ejogrb.2015.05.009","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01154447/full","Pregnancy and Childbirth"
